lat,lon,heading_deg,bearing_deg,range_ft,target_lat,target_lon,airspeed_fps,groundspeed_fps,theta_deg,phi_deg,gps_altitude_ft,baro_altitude_ft,bat_voltage_V,sound_bit
37.893478,-97.123224,225.91,225.79,31231.8,37.827131,-97.191524,30,30,2,0.27,39621.57,39621.57,16,0
37.893254,-97.123515,226.04,225.76,31115.34,37.827131,-97.191524,30,30,2,0.24,39615.02,39615.02,16,0
37.89303,-97.123806,226.13,225.73,30998.89,37.827131,-97.191524,30,30,2,0.18,39608.48,39608.48,16,0
37.892805,-97.124096,226.19,225.71,30882.44,37.827131,-97.191524,30,30,2,0.1,39601.94,39601.94,16,0
37.892581,-97.124387,226.2,225.68,30765.98,37.827131,-97.191524,30,30,2,0.01,39595.39,39595.39,16,0
37.892356,-97.124677,226.16,225.65,30649.33,37.827131,-97.191524,30,30,2,-0.06,39588.84,39588.84,16,0
37.892134,-97.124964,225.98,225.63,30534.51,37.827131,-97.191524,30,30,2,-0.22,39582.39,39582.39,16,0
37.891907,-97.125257,225.95,225.6,30416.74,37.827131,-97.191524,30,30,2,-0.22,39575.77,39575.77,16,0
37.891679,-97.12555,225.92,225.57,30298.99,37.827131,-97.191524,30,30,2,-0.23,39569.16,39569.16,16,0
37.891452,-97.125843,225.88,225.55,30181.27,37.827131,-97.191524,30,30,2,-0.23,39562.54,39562.54,16,0
37.891224,-97.126136,225.85,225.52,30063.56,37.827131,-97.191524,30,30,2,-0.23,39555.93,39555.93,16,0
37.891002,-97.126421,225.54,225.49,29948.72,37.827131,-97.191524,30,30,2,-0.29,39549.48,39549.48,16,0
37.890773,-97.126714,225.53,225.46,29830.74,37.827131,-97.191524,30,30,2,-0.29,39542.85,39542.85,16,0
37.890545,-97.127007,225.53,225.44,29712.76,37.827131,-97.191524,30,30,2,-0.29,39536.22,39536.22,16,0
37.890321,-97.127294,225.27,225.41,29597.23,37.827131,-97.191524,30,30,2,-0.28,39529.73,39529.73,16,0
37.890092,-97.127587,225.28,225.38,29479.14,37.827131,-97.191524,30,30,2,-0.28,39523.1,39523.1,16,0
37.889867,-97.127875,225.1,225.35,29363.16,37.827131,-97.191524,30,30,2,-0.24,39516.58,39516.58,16,0
